Date,Close,Open,High,Low,Volume,Change_pct,Ty_gia_ngoai_te,EMA20,EMA50,SMA20,SMA50,BB_Middle,BB_Upper,BB_Lower,BB_Width,RSI,MACD,Signal
2001-05-14,357.65,357.65,357.65,357.65,60.0,1.88,"14,589.0",314.2968412472999,275.030192713343,309.72850000000005,272.8734,309.72850000000005,364.4640115268429,254.99298847315723,0.35344187910923813,94.70146302886518,23.981709497574514,20.859979399087678
2001-05-16,364.27,364.27,364.27,364.27,30.0,1.85,"14,596.0",319.056189699938,278.5297929990943,314.707,275.7964,314.707,370.30402229814945,259.10997770185054,0.35332561587857564,94.79409479409482,25.016710557212377,21.69132563071262
2001-05-18,370.9,370.9,370.9,370.9,60.0,1.82,"14,604.0",323.993695442801,282.1521540579534,319.787,278.77139999999997,319.787,376.4710120780368,263.1029879219632,0.3545110469033251,94.8841944515144,26.071406993598657,22.567341903289826
2001-05-21,377.43,377.43,377.43,377.43,50.0,1.76,"14,609.0",329.0828673053914,285.8885401733278,324.937,281.8066,324.937,382.96988508749854,266.9041149125015,0.35719468750864647,94.9312823099231,27.12153774012802,23.478181070657463
2001-05-23,384.16,384.16,384.16,384.16,230.0,1.78,"14,616.0",334.3283085144017,289.74232291162866,330.167,284.9228,330.167,389.81219377998934,270.5218062200106,0.3613031816019734,94.99002991026921,28.172078493219487,24.41696055516987
2001-05-25,390.88,390.88,390.88,390.88,80.0,1.75,"14,627.0",339.7141838939825,293.7085063268589,335.4765,288.0868,335.4765,396.9538444877298,273.9991555122702,0.3665076062718539,95.04682109413505,29.21017078133127,25.37560260040215
2001-05-28,397.5,397.5,397.5,397.5,130.0,1.69,"14,631.0",345.21759495169846,297.7787609807076,340.8605,291.29740000000004,340.8605,404.33051429601755,277.39048570398245,0.37241049811296734,100.0,30.218702679067462,26.344222616135212
2001-05-30,404.26,404.26,404.26,404.26,10.0,1.7,"14,645.0",350.8406811467748,301.9544958442093,346.319,294.5554,346.319,411.9555693641476,280.6824306358524,0.3790526616451745,100.0,31.20374957696265,27.3161280083007
2001-06-01,411.03,411.03,411.03,411.03,20.0,1.67,"14,673.0",356.57299722803435,306.2319665954168,351.8525,297.86,351.8525,419.7946546146722,283.91034538532784,0.38619679902613835,100.0,32.159968661331106,28.284896138906785
2001-06-04,417.79,417.79,417.79,417.79,20.0,1.64,"14,673.0",362.4031879682216,310.60679143481224,357.43399999999997,301.21119999999996,357.43399999999997,427.86654971209805,287.0014502879019,0.3941010072466418,100.0,33.08190704753048,29.244298320631525
2001-06-06,424.56,424.56,424.56,424.56,30.0,1.62,"14,698.0",368.32288435220045,315.0755447118784,363.06399999999996,304.5038,363.06399999999996,436.1430653009666,289.9849346990333,0.40256850197742905,100.0,33.967278637315985,30.188894383968417
2001-06-08,426.58,426.58,426.58,426.58,190.0,0.48,"14,719.0",373.87118108056234,319.44826844866753,368.505,307.8324,368.505,443.5591582704382,293.4508417295618,0.4073440429325964,100.0,34.43499394398765,31.038114295972267
2001-06-11,428.02,428.02,428.02,428.02,430.0,0.34,"14,719.0",379.0282114538421,323.7059834114649,374.21899999999994,311.26919999999996,374.21899999999994,449.1184916432736,299.31950835672626,0.4002976419865036,100.0,34.52388777179033,31.735268991135882
2001-06-13,456.18,456.18,456.18,456.18,120.0,6.58,"14,754.0",386.3760008391905,328.9010428855251,381.2645,315.34860000000003,381.2645,459.26183503544416,303.26716496455583,0.4091507865822502,100.0,36.446481081074126,32.67751140912353
2001-06-15,486.34,486.34,486.34,486.34,70.0,6.61,"14,774.0",395.89638171164853,335.07511963511234,389.528,320.0958,389.528,475.30469849213284,303.7513015078672,0.44041351837163345,100.0,39.94336779255195,34.13068268580922
2001-06-18,518.62,518.62,518.62,518.62,210.0,6.64,"14,784.0",407.5843453581582,342.2729580807942,399.1025,325.5484,399.1025,497.3895260485757,300.81547395142434,0.4925402674680097,100.0,44.80294150903677,36.26513445045473
2001-06-20,553.56,553.56,553.56,553.56,140.0,6.74,"14,803.0",421.4867886573812,350.55872443056694,410.18050000000005,331.6846,410.18050000000005,525.1510176807915,295.2099823192087,0.5605849994370351,100.0,50.88696146914276,39.18949985419234
2001-06-22,563.0,563.0,563.0,563.0,540.0,1.71,"14,819.0",434.9642373566782,358.8897548450545,421.413,337.92019999999997,421.413,549.9327854274409,292.8932145725591,0.6099469424409826,100.0,55.82678381430685,42.51695664621525
2001-06-25,571.04,571.04,571.04,571.04,270.0,1.43,"14,826.0",447.9238337988993,367.20937230211115,432.7415,344.2288,432.7415,572.1829859773754,293.3000140226245,0.6444562676673047,100.0,59.70217985323245,45.95400128761869
2001-06-27,531.93,531.93,531.93,531.93,80.0,-6.85,"14,831.0",455.92442105614697,373.6690047608519,441.785,349.81940000000003,441.785,582.3773193979097,301.1926806020904,0.6364739382184078,82.16354266429515,58.93820603924837,48.55084223794463
2001-06-29,500.28,500.28,500.28,500.28,120.0,-5.95,"14,842.0",460.1487619079425,378.6341418290538,448.9165,354.7522,448.9165,585.9645148322962,311.86848516770374,0.6105724108260501,71.0356119525174,55.1432042643122,49.869314643218146
