Date,Price,Open,High,Low,Vol.,Change %
2025-01-07,"1,246.95","1,249.19","1,254.09","1,243.06",560.06K,0.05%
2025-01-08,"1,251.02","1,246.95","1,251.02","1,239.67",445.75K,0.33%
2025-01-09,"1,245.77","1,251.02","1,253.26","1,242.90",336.33K,-0.42%
2025-01-10,"1,230.48","1,245.77","1,247.80","1,230.48",499.27M,-1.23%
2025-01-13,"1,235.65","1,230.48","1,235.65","1,220.87",519.70M,0.42%
2025-01-14,"1,229.07","1,235.65","1,235.65","1,226.70",374.58M,-0.53%
2025-01-15,"1,236.18","1,229.07","1,237.46","1,229.07",466.70M,0.58%
2025-01-16,"1,242.36","1,236.18","1,245.40","1,235.56",499.94M,0.50%
2025-01-17,"1,249.11","1,242.36","1,249.11","1,239.63",432.98M,0.54%
2025-01-20,"1,249.55","1,249.11","1,253.02","1,247.50",440.95M,0.04%
2025-01-21,"1,246.09","1,249.55","1,254.17","1,243.08",495.63M,-0.28%
2025-01-22,"1,242.53","1,246.09","1,249.14","1,242.53",508.86M,-0.29%
2025-01-23,"1,259.63","1,245.59","1,263.59","1,244.77",542.47M,1.38%
2025-01-24,"1,265.05","1,259.26","1,265.38","1,258.46",536.20M,0.43%
2025-02-03,"1,253.03","1,265.05","1,265.05","1,249.78",547.00M,-0.95%
2025-02-04,"1,264.68","1,256.91","1,264.68","1,255.44",660.34M,0.93%
2025-02-05,"1,269.61","1,264.68","1,271.80","1,264.68",587.30M,0.39%
2025-02-06,"1,271.48","1,269.61","1,275.47","1,268.28",568.69M,0.15%
2025-02-07,"1,275.20","1,271.48","1,279.35","1,269.11",619.05M,0.29%
2025-02-10,"1,263.26","1,275.20","1,275.20","1,263.26",794.94M,-0.94%
2025-02-11,"1,268.45","1,263.26","1,268.45","1,263.11",628.72M,0.41%
2025-02-12,"1,266.91","1,268.45","1,272.86","1,266.59",506.16M,-0.12%
2025-02-13,"1,270.35","1,266.91","1,270.67","1,263.85",512.02M,0.27%
2025-02-14,"1,276.08","1,270.35","1,280.60","1,270.35",650.49M,0.45%
2025-02-17,"1,272.72","1,276.08","1,278.49","1,272.72",852.79M,-0.26%
2025-02-18,"1,278.14","1,272.72","1,283.34","1,272.19",706.79M,0.43%
2025-02-19,"1,288.56","1,278.14","1,288.56","1,278.14",814.56M,0.82%
2025-02-20,"1,292.98","1,288.56","1,295.82","1,288.56",770.75M,0.34%
2025-02-21,"1,296.75","1,292.98","1,296.75","1,290.98",740.53M,0.29%
2025-02-24,"1,304.56","1,296.75","1,304.56","1,294.69",892.36M,0.60%
2025-02-25,"1,303.16","1,306.86","1,309.97","1,298.54",885.78M,-0.11%
2025-02-26,"1,302.96","1,303.16","1,306.49","1,301.20",758.27M,-0.02%
2025-02-27,"1,307.80","1,307.31","1,307.87","1,296.43",892.98M,0.37%
2025-02-28,"1,305.36","1,307.80","1,308.77","1,300.66",814.81M,-0.19%
2025-03-03,"1,309.37","1,305.36","1,309.77","1,304.30",976.08M,0.31%
2025-03-04,"1,311.91","1,309.37","1,313.21","1,298.28",1.06B,0.19%
2025-03-05,"1,304.71","1,311.91","1,319.52","1,304.71",979.93M,-0.55%
2025-03-06,"1,318.22","1,304.71","1,318.22","1,304.71",1.06B,1.04%
2025-03-07,"1,326.05","1,318.22","1,327.07","1,318.22",957.52M,0.59%
2025-03-10,"1,330.28","1,326.05","1,335.87","1,326.05",1.02B,0.32%
2025-03-11,"1,332.54","1,330.28","1,332.54","1,315.92",933.34M,0.17%
